"Left-hand Side","Right-hand side","Probability","Classification"
"('company',)","('country_code',)","0.5714384359112197","No FD"
"('company',)","('state',)","0.5903813579695505","No FD"
"('company',)","('city',)","0.6129366084058264","No FD"
"('company',)","('location',)","0.48332207519172965","No FD"
"('company',)","('country',)","0.5714384359112197","No FD"
"('country_code',)","('company',)","0.3831339791747644","No FD"
"('country_code',)","('state',)","0.5094502512988738","No FD"
"('country_code',)","('city',)","0.521703920532583","No FD"
"('country_code',)","('location',)","0.31274670251065606","No FD"
"('country_code',)","('country',)","1.0","Hard"
"('state',)","('company',)","0.4149992137373494","No FD"
"('state',)","('country_code',)","0.8404260679180319","No FD"
"('state',)","('city',)","0.8975412012326301","No FD"
"('state',)","('location',)","0.4137308420714473","No FD"
"('state',)","('country',)","0.8404260679180319","No FD"
"('city',)","('company',)","0.41339453092225165","No FD"
"('city',)","('country_code',)","0.7928085425213098","No FD"
"('city',)","('state',)","0.820697245309974","No FD"
"('city',)","('location',)","0.42731531272553136","No FD"
"('city',)","('country',)","0.7928085425213098","No FD"
"('location',)","('company',)","0.5459748970919513","No FD"
"('location',)","('country_code',)","0.9623202633001295","Soft"
"('location',)","('state',)","0.8744404588541327","No FD"
"('location',)","('city',)","0.9596836758025191","Soft"
"('location',)","('country',)","0.9623202633001295","Soft"
"('country',)","('company',)","0.3831339791747644","No FD"
"('country',)","('country_code',)","1.0","Hard"
"('country',)","('state',)","0.5094502512988738","No FD"
"('country',)","('city',)","0.521703920532583","No FD"
"('country',)","('location',)","0.31274670251065606","No FD"
"('company', 'country_code')","('state',)","0.7524074046387613","No FD"
"('company', 'country_code')","('city',)","0.7610410959566467","No FD"
"('company', 'country_code')","('location',)","0.6504502972784747","No FD"
"('company', 'country_code')","('country',)","1.0","Hard"
"('company', 'state')","('country_code',)","0.9040752100159484","Soft"
"('company', 'state')","('city',)","0.9497001917832831","Soft"
"('company', 'state')","('location',)","0.697786534098112","No FD"
"('company', 'state')","('country',)","0.9040752100159484","Soft"
"('company', 'city')","('country_code',)","0.8741271110676738","No FD"
"('company', 'city')","('state',)","0.9022219164038625","Soft"
"('company', 'city')","('location',)","0.69813648619463","No FD"
"('company', 'city')","('country',)","0.8741271110676738","No FD"
"('company', 'location')","('country_code',)","0.9831730579447993","Soft"
"('company', 'location')","('state',)","0.9378582037592512","Soft"
"('company', 'location')","('city',)","0.9811575851989637","Soft"
"('company', 'location')","('country',)","0.9831730579447993","Soft"
"('company', 'country')","('country_code',)","1.0","Hard"
"('company', 'country')","('state',)","0.7524074046387613","No FD"
"('company', 'country')","('city',)","0.7610410959566467","No FD"
"('company', 'country')","('location',)","0.6504502972784747","No FD"
"('country_code', 'state')","('company',)","0.4212086173956822","No FD"
"('country_code', 'state')","('city',)","0.9087317589579299","Soft"
"('country_code', 'state')","('location',)","0.5185690321332316","No FD"
"('country_code', 'state')","('country',)","1.0","Hard"
"('country_code', 'city')","('company',)","0.4216163999641558","No FD"
"('country_code', 'city')","('state',)","0.8499442100679768","No FD"
"('country_code', 'city')","('location',)","0.5389758970689735","No FD"
"('country_code', 'city')","('country',)","1.0","Hard"
"('country_code', 'location')","('company',)","0.5576880826212818","No FD"
"('country_code', 'location')","('state',)","0.9019013449019258","Soft"
"('country_code', 'location')","('city',)","0.9873985557003055","Soft"
"('country_code', 'location')","('country',)","1.0","Hard"
"('country_code', 'country')","('company',)","0.3831339791747644","No FD"
"('country_code', 'country')","('state',)","0.5094502512988738","No FD"
"('country_code', 'country')","('city',)","0.521703920532583","No FD"
"('country_code', 'country')","('location',)","0.31274670251065606","No FD"
"('state', 'city')","('company',)","0.4345570300835332","No FD"
"('state', 'city')","('country_code',)","0.8591291246453363","No FD"
"('state', 'city')","('location',)","0.47419887546019945","No FD"
"('state', 'city')","('country',)","0.8591291246453363","No FD"
"('state', 'location')","('company',)","0.5742675206086396","No FD"
"('state', 'location')","('country_code',)","0.9922655035388485","Soft"
"('state', 'location')","('city',)","0.9966094333410769","Soft"
"('state', 'location')","('country',)","0.9922655035388485","Soft"
"('state', 'country')","('company',)","0.4212086173956822","No FD"
"('state', 'country')","('country_code',)","1.0","Hard"
"('state', 'country')","('city',)","0.9087317589579299","Soft"
"('state', 'country')","('location',)","0.5185690321332316","No FD"
"('city', 'location')","('company',)","0.5568480968510698","No FD"
